INDEX,NAME,DATASET,UNCOMPRESSED,MAX_PNG_COMPRESSED,COMPRESSION,RLE,DELTA,RAW
78,ortho_1.5m.png,dark,99336192,11.764,14.349,3,8,8,RowWise
79,ortho_1.5m.png,dark,99336192,11.764,14.055,3,8,8,ColumnWise
80,ortho_1.5m.png,dark,99336192,11.764,15.432,4,0,8,RowWise
81,ortho_1.5m.png,dark,99336192,11.764,15.110,4,0,8,ColumnWise
82,ortho_1.5m.png,dark,99336192,11.764,13.932,4,1,8,RowWise
83,ortho_1.5m.png,dark,99336192,11.764,13.592,4,1,8,ColumnWise
84,ortho_1.5m.png,dark,99336192,11.764,13.866,4,2,8,RowWise
85,ortho_1.5m.png,dark,99336192,11.764,13.553,4,2,8,ColumnWise
86,ortho_1.5m.png,dark,99336192,11.764,11.818,4,3,8,RowWise
87,ortho_1.5m.png,dark,99336192,11.764,11.580,4,3,8,ColumnWise
88,ortho_1.5m.png,dark,99336192,11.764,13.840,4,4,8,RowWise
89,ortho_1.5m.png,dark,99336192,11.764,13.530,4,4,8,ColumnWise
90,ortho_1.5m.png,dark,99336192,11.764,13.837,4,5,8,RowWise
91,ortho_1.5m.png,dark,99336192,11.764,13.526,4,5,8,ColumnWise
92,ortho_1.5m.png,dark,99336192,11.764,13.834,4,6,8,RowWise
93,ortho_1.5m.png,dark,99336192,11.764,13.523,4,6,8,ColumnWise
94,ortho_1.5m.png,dark,99336192,11.764,13.831,4,7,8,RowWise
95,ortho_1.5m.png,dark,99336192,11.764,13.521,4,7,8,ColumnWise
96,ortho_1.5m.png,dark,99336192,11.764,13.831,4,8,0,RowWise
97,ortho_1.5m.png,dark,99336192,11.764,13.521,4,8,0,ColumnWise
98,ortho_1.5m.png,dark,99336192,11.764,13.831,4,8,8,RowWise
99,ortho_1.5m.png,dark,99336192,11.764,13.521,4,8,8,ColumnWise
100,ortho_1.5m.png,dark,99336192,11.764,15.052,5,0,8,RowWise
101,ortho_1.5m.png,dark,99336192,11.764,14.732,5,0,8,ColumnWise
102,ortho_1.5m.png,dark,99336192,11.764,13.598,5,1,8,RowWise
103,ortho_1.5m.png,dark,99336192,11.764,13.257,5,1,8,ColumnWise
104,ortho_1.5m.png,dark,99336192,11.764,13.532,5,2,8,RowWise
105,ortho_1.5m.png,dark,99336192,11.764,13.217,5,2,8,ColumnWise
106,ortho_1.5m.png,dark,99336192,11.764,13.514,5,3,8,RowWise
107,ortho_1.5m.png,dark,99336192,11.764,13.202,5,3,8,ColumnWise
108,ortho_1.5m.png,dark,99336192,11.764,11.387,5,4,8,RowWise
109,ortho_1.5m.png,dark,99336192,11.764,11.151,5,4,8,ColumnWise
110,ortho_1.5m.png,dark,99336192,11.764,13.502,5,5,8,RowWise
111,ortho_1.5m.png,dark,99336192,11.764,13.190,5,5,8,ColumnWise
112,ortho_1.5m.png,dark,99336192,11.764,13.499,5,6,8,RowWise
113,ortho_1.5m.png,dark,99336192,11.764,13.188,5,6,8,ColumnWise
114,ortho_1.5m.png,dark,99336192,11.764,13.496,5,7,8,RowWise
115,ortho_1.5m.png,dark,99336192,11.764,13.185,5,7,8,ColumnWise
116,ortho_1.5m.png,dark,99336192,11.764,13.496,5,8,0,RowWise
117,ortho_1.5m.png,dark,99336192,11.764,13.185,5,8,0,ColumnWise
118,ortho_1.5m.png,dark,99336192,11.764,13.496,5,8,8,RowWise
119,ortho_1.5m.png,dark,99336192,11.764,13.185,5,8,8,ColumnWise
120,ortho_1.5m.png,dark,99336192,11.764,14.841,6,0,8,RowWise
121,ortho_1.5m.png,dark,99336192,11.764,14.527,6,0,8,ColumnWise
122,ortho_1.5m.png,dark,99336192,11.764,13.400,6,1,8,RowWise
123,ortho_1.5m.png,dark,99336192,11.764,13.056,6,1,8,ColumnWise
124,ortho_1.5m.png,dark,99336192,11.764,13.334,6,2,8,RowWise
125,ortho_1.5m.png,dark,99336192,11.764,13.016,6,2,8,ColumnWise
126,ortho_1.5m.png,dark,99336192,11.764,13.316,6,3,8,RowWise
127,ortho_1.5m.png,dark,99336192,11.764,13.002,6,3,8,ColumnWise
128,ortho_1.5m.png,dark,99336192,11.764,13.308,6,4,8,RowWise
129,ortho_1.5m.png,dark,99336192,11.764,12.994,6,4,8,ColumnWise
130,ortho_1.5m.png,dark,99336192,11.764,11.145,6,5,8,RowWise
131,ortho_1.5m.png,dark,99336192,11.764,10.911,6,5,8,ColumnWise
132,ortho_1.5m.png,dark,99336192,11.764,13.301,6,6,8,RowWise
133,ortho_1.5m.png,dark,99336192,11.764,12.987,6,6,8,ColumnWise
134,ortho_1.5m.png,dark,99336192,11.764,13.299,6,7,8,RowWise
135,ortho_1.5m.png,dark,99336192,11.764,12.985,6,7,8,ColumnWise
136,ortho_1.5m.png,dark,99336192,11.764,13.299,6,8,0,RowWise
137,ortho_1.5m.png,dark,99336192,11.764,12.985,6,8,0,ColumnWise
138,ortho_1.5m.png,dark,99336192,11.764,13.299,6,8,8,RowWise
139,ortho_1.5m.png,dark,99336192,11.764,12.985,6,8,8,ColumnWise
